210,Capromys nana,Dwarf hutia,3
211,Capromys sanfelipensis,Little earth hutia,3
212,Carduelis cucullata,Red siskin,1
213,Caretta caretta,Loggerhead sea turtle,6
214,Casarea dussumieri,Round Island casarea boa,6
215,Castor fiber birulai,Beaver (Mongolian),3
216,Catopuma (=Felis) temminckii,Asian golden (=Temmnick's) cat,3
217,Catostomus discobolus yarrowi,Zuni bluehead Sucker,0
218,Catostomus santaanae,Santa Ana sucker,0
219,Catostomus warnerensis,Warner sucker,0
220,Catreus wallichii,Cheer pheasant,1
221,Centrocercus minimus,Gunnison sage-grouse,1
222,Cephalophus jentinki,Jentink's duiker,3
223,Cephalorhynchus hectori hectori,South Island Hector's dolphin,3
224,Cephalorhynchus hectori maui,Maui dolphin,3
225,Ceratotherium simum cottoni,Northern white rhinoceros,3
226,Ceratotherium simum ssp. simum,Southern white rhinoceros,3
227,Cercocebus galeritus galeritus,Tana River mangabey,3
228,Cercocebus torquatus,White-collared mangabey,3
229,Cercopithecus diana,Diana monkey,3
230,Cercopithecus erythrogaster,Red-bellied monkey,3
231,Cercopithecus erythrotis,Red-eared nose-spotted monkey,3
232,Cercopithecus lhoesti,L'hoest's monkey,3
233,Cervus alfredi,Visayan deer,3
234,Cervus duvauceli,Swamp deer,3
235,Cervus elaphus bactrianus,Bactrian deer,3
236,Cervus elaphus barbarus,Barbary stag,3
237,Cervus elaphus corsicanus,Corsican red deer,3
238,Cervus elaphus hanglu,Kashmir stag,3
239,Cervus elaphus macneilii,McNeill's deer,3
240,Cervus elaphus wallichi,Shou,3
241,Cervus elaphus yarkandensis,Yarkand deer,3
242,Cervus eldi,Eld's brow-antlered Deer,3
243,Cervus nippon grassianus,Shansi sika deer,3
244,Cervus nippon keramae,Ryukyu sika deer,3
245,Cervus nippon kopschi,South China sika deer,3
246,Cervus nippon mandarinus,North China sika deer,3
247,Cervus nippon taiouanus,Formosan sika deer,3
248,Chaeropus ecaudatus,Pig-footed bandicoot,3
249,Chaetocercus berlepschi,Esmeraldas woodstar,1
250,Chaetomys subspinosus,Thin-spined porcupine,3
251,Charadrius alexandrinus nivosus,Western snowy plover,1
252,Charadrius melodus,Piping Plover,1
253,Chasiempis ibidis,Oahu elepaio,1
254,Chasmistes brevirostris,Shortnose Sucker,0
255,Chasmistes cujus,Cui-ui,0
256,Chasmistes liorus,June sucker,0
257,Chelonia mydas,Green sea turtle,6
258,Chinchilla brevicaudata boliviana,Chinchilla,3
259,Chiropotes albinasus,White-nosed saki,3
260,Chiropotes satanas satanas,Southern bearded saki,3
261,Chlamyphorus truncatus,Pink fairy armadillo,3
262,Chondrohierax uncinatus mirus,Grenada hook-billed kite,1
263,Chondrohierax uncinatus wilsonii,Cuba hook-billed kite,1
264,Chrosomus saylori,Laurel dace,0
265,Chrysocyon brachyurus,Maned wolf,3
266,Cichlherminia iherminieri santaeluciae,St. Lucia Forest thrush,1
267,Cicindela dorsalis dorsalis,Northeastern beach tiger beetle,8
268,Cicindela nevadica lincolniana,Salt Creek Tiger beetle,8
269,Cicindela ohlone,Ohlone tiger beetle,8
270,Cicindela puritana,Puritan tiger beetle,8
271,Cicindelidia floridana,Miami tiger beetle,8
272,Ciconia boyciana (=ciconia b.),Oriental white stork,1
273,Cicurina baronia,Robber Baron Cave Meshweaver,5
274,Cicurina madla,Madla's Cave Meshweaver,5
275,Cicurina venii,Braken Bat Cave Meshweaver,5
276,Cicurina vespera,Government Canyon Bat Cave Meshweaver,5
277,Cinclocerthia ruficauda gutturalis,Martinique trembler (thrasher),1
278,Cinclodes aricomae,Royal cinclodes,1
279,Clemmys muhlenbergii,bog turtle,6
